DOI,publication_date,total_size_kb,num_files,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab
10.7910/DVN/YU84D7,2019-06-20,1260.31,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/RXXQSQ,2019-06-19,429.73,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UYXRI8,2019-06-17,27781.61,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/O6VHZZ,2019-06-14,1265.88,44,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DZ1NFG,2019-04-09,1082.56,17,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/XJQALC,2019-06-12,1300.72,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/VJLVYU,2019-04-15,9649.59,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/T21M2M,2019-05-16,1288.94,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ZUH3UG,2019-05-06,38421.85,30,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/FPYKTP,2019-05-06,1302697.88,81,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/BZ9Z2D,2019-05-06,554.22,29,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/QZNGVJ,2019-05-01,4365.01,35,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/STXADQ,2019-05-01,1324710.46,73,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WB0RNW,2019-04-30,4444.11,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/JQEUBQ,2019-03-12,43973.77,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/PGGBB4,2019-04-26,651.18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/RLLL1V,2019-04-26,5397831.75,52,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/T8OYHT,2019-04-15,44406.22,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/7ZVSYO,2019-04-12,53371.51,57,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/FTFJTV,2019-03-13,2019.94,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/KGIBK5,2019-03-13,97.17,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/CPVIOF,2019-03-07,405807.76,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29040,2015-02-09,2910.74,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/IAPQ3X,2019-03-01,3018033.76,33,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/9SF3TI,2019-02-22,606101.46,33,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SSEN5A,2019-02-18,16158.59,27,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/Y43XZR,2019-02-15,5223.99,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/8KNF3I,2019-02-12,608.9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SZ9YXZ,2019-02-04,3424.47,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AGIMGY,2019-02-04,105807.17,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/YUM3K8,2019-01-18,16730.6,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ZRZGTT,2019-01-16,577.47,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HUZGPJ,2019-01-04,670.72,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/2O7CN0,2018-12-04,3770.11,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/QC0RSU,2018-12-04,169.01,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/LP1SQY,2018-12-04,739.93,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29095,2015-02-11,14861.02,26,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WPVSMH,2018-11-28,108072.5,45,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
