DOI,title,publication_date,total_size_kb,num_files,codebook,verified_note,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab,ArcGIS,code_sum
10.7910/DVN/29911,An Empirical Validation Study of Popular Survey Methodologies for Sensitive Questions,2015-04-06,826713.75,37,['validate-codebook.pdf'],True,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/QJD1OW,Are Voters More Likely to Contribute to Other Public Goods: Evidence from a Large-Scale Randomized Policy Experiment,2013-05-06,174202.83,2,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26544,Identifying Judicial Empathy: Does Having Daughters Cause Judges to Rule for Women's Issues?,2014-06-19,4149.07,3,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/26467,Connecting the Candidates: Consultant Networks and the Diffusion of Campaign Strategy in American Congressional Elections,2014-06-10,8200.94,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/H6CUHY,The Power of Partisanship in Brazil: Evidence from Survey Experiments,2013-06-11,760.44,7,[],False,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/QQ69RH,Economic Explanations for Opposition to Immigration: Distinguishing between Prevalence and Conditional Impact,2012-10-29,666.18,8,[],False,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
10.7910/DVN/24387,Is the U.S. Supreme Court's Legitimacy Grounded in Performance Satisfaction and Ideology?,2014-01-27,138.57,4,[],False,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/27672,Making Young Voters: The Impact of Preregistration on Youth Turnout,2014-10-24,1210438.38,14,[],False,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/SQNMPH,Fight the Youth: Youth Bulges and State Repression,2012-10-29,908.22,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27466,Signaling Alliance Commitments: Hand-Tying and Sunk Costs in Extended Nuclear Deterrence,2015-01-27,33458.53,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
